"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"110","Clyde Edwards-Helaire (NO)","13","46","3.5","12","0","0","3","5","24","8.0","0","0","2","10.0","5.0","3.2%"
"111","Tyler Badie (DEN)","11","86","7.8","43","1","0","3","3","-2","-0.7","0","1","3","9.4","3.1","0.7%"
"112","Sione Vaki (DET)","6","14","2.3","7","0","0","3","3","37","12.3","0","0","12","8.1","0.7","0.6%"
"113","Raheem Blackshear (CAR)","15","80","5.3","26","1","0","0","0","0","0","0","0","16","8.0","0.5","1.0%"
"114","Jonathon Brooks (CAR)","9","22","2.4","9","0","0","3","3","23","7.7","0","0","3","7.5","2.5","6.9%"
"115","Keaton Mitchell (BAL)","15","30","2.0","7","0","0","1","1","28","28.0","0","0","4","6.8","1.7","14.5%"
"116","Travis Homer (CHI)","6","23","3.8","6","0","0","3","3","11","3.7","0","0","9","6.4","0.7","0.6%"
"117","J.J. Taylor (HOU)","10","44","4.4","9","0","0","2","3","0","0.0","0","0","4","6.4","1.6","0.6%"
"118","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","2","6.0","3.0","0.0%"
"119","Mike Boone (FA)","13","51","3.9","9","0","0","1","3","-2","-2.0","0","0","5","5.9","1.2","1.0%"
"120","Jacob Kibodi (FA)","5","24","4.8","17","0","0","1","3","15","15.0","0","0","1","4.9","4.9","0.0%"
"121","Jermar Jefferson (FA)","6","22","3.7","8","0","0","1","1","10","10.0","0","0","2","4.2","2.1","0.6%"
"122","Dalvin Cook (FA)","8","20","2.5","4","0","0","1","1","10","10.0","0","0","2","4.0","2.0","0.6%"
"123","Blake Watson (DEN)","4","10","2.5","7","0","0","1","2","13","13.0","0","0","3","3.3","1.1","1.1%"
"124","Terrell Jennings (NE)","13","33","2.5","7","0","0","0","1","0","0","0","0","2","3.3","1.7","0.1%"
"125","Jase McClellan (FA)","13","32","2.5","8","0","0","0","0","0","0","0","0","3","3.2","1.1","0.6%"
"126","Rasheen Ali (BAL)","10","31","3.1","9","0","0","0","2","0","0","0","0","5","3.1","0.6","1.1%"
"127","MarShawn Lloyd (GB)","6","15","2.5","5","0","0","1","1","3","3.0","0","0","1","2.8","2.8","22.6%"
"128","Jonathan Ward (FA)","5","22","4.4","7","0","0","0","0","0","0","0","0","4","2.2","0.6","0.0%"
"129","Myles Gaskin (FA)","3","-1","-0.3","2","0","0","1","1","11","11.0","0","0","4","2.0","0.5","0.0%"
"130","George Holani (SEA)","3","10","3.3","8","0","0","1","1","-1","-1.0","0","0","3","1.9","0.6","0.0%"
"131","Cody Schrader (LAR)","1","3","3.0","3","0","0","1","1","6","6.0","0","0","1","1.9","1.9","1.0%"
"132","Chris Collier (LV)","5","12","2.4","4","0","0","1","2","-4","-4.0","0","0","6","1.8","0.3","0.0%"
"133","Aaron Shampklin (FA)","6","17","2.8","5","0","0","0","0","0","0","0","0","3","1.7","0.6","1.1%"
"134","Tyreik McAllister (FA)","2","11","5.5","10","0","0","0","0","0","0","0","0","2","1.1","0.6","1.0%"
"135","Tyrion Davis-Price (TEN)","3","7","2.3","5","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"136","Reggie Gilliam (BUF)","3","7","2.3","4","0","0","0","0","0","0","0","0","14","0.7","0.1","0.0%"
"137","Ke'Shawn Vaughn (FA)","2","4","2.0","3","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"138","Darrynton Evans (BUF)","3","3","1.0","4","0","0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"139","Joshua Kelley (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"140","British Brooks (HOU)","1","2","2.0","2","0","0","0","0","0","0","0","0","3","0.2","0.1","0.0%"
"141","Demetric Felton Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","La'Mical Perine (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"145","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Ashton Jeanty (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.7%"
"147","Ollie Gordon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.5%"
"148","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"149","Damien Martinez (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.8%"
"150","Ellis Merriweather (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"151","Emani Bailey (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.1%"
"153","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"154","Louis Rees-Zammit (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"155","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Michael Wiley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Tahj Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.8%"
"159","Lew Nichols III (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"160","Omarion Hampton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.8%"
"161","Trevor Etienne (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.6%"
"162","Quinshon Judkins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.0%"
"163","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"165","Ben VanSumeren (PHI)","0","0","0","0","0","0","1","1","0","0.0","0","0","7","0.0","0.0","1.3%"
"166","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","Scott Matlock (LAC)","0","0","0","0","0","0","4","5","28","7.0","0","0","17","0.0","0.0","15.6%"
"169","Elijah Dotson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Josh Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Tre Stewart (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"174","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","ShunDerrick Powell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Rushawn Baker (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Quali Conley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Jacardia Wright (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Kayron Lynch-Adams (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","DJ Thomas-Jones (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Jalen White (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Anthony Tyus III (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Amar Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Nathan Carter (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Montrell Johnson Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"189","Elijah Young (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Woody Marks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.8%"
"192","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","RJ Harvey (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.7%"
"194","Kyle Monangai (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.0%"
"195","Dylan Sampson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.7%"
"196","DJ Giddens (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.6%"
"197","Kalel Mullings (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"198","Cam Skattebo (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.5%"
"199","Kaleb Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.6%"
"200","Brashard Smith (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.5%"
"201","Nate Noel (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Jacory Croskey-Merritt (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.4%"
"203","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.1%"
"204","Bhayshul Tuten (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.7%"
"205","Marcus Yarns (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"206","LeQuint Allen Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9%"
"207","Ja'Quinden Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"208","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"209","Zach Evans (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"210","Ulysses Bentley IV (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Adam Prentice (FA)","0","0","0","0","0","0","0","4","0","0","0","0","9","0.0","0.0","0.0%"
"212","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"213","Avery Williams (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.6%"
"214","Jashaun Corbin (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Phil Mafah (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"216","D.J. Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Keilan Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"218","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.6%"
"219","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Kendall Milton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"221","Marcus Major Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","TreVeyon Henderson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.2%"
"223","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Donovan Edwards (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"225","Corey Kiner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"226","Troy Hairston II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"227","Zonovan Knight (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Evan Hull (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"229","Jabari Small (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Devin Neal (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.6%"
"231","Jarquez Hunter (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0%"
"232","Israel Abanikanda (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"233","Raheim Sanders (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"234","Jaydon Blue (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.0%"
"235","Velus Jones Jr. (NO)","3","11","3.7","6","0","0","1","1","8","8.0","0","1","2","0.0","0.0","0.0%"
"236","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
