"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"133","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Brenden Bates (CLE)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"135","Colston Loveland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.2%"
"136","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"137","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"138","Joel Wilson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Brayden Willis (SF)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"140","Johnny Lumpkin (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Mason Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.7%"
"142","Oronde Gadsden II (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.0%"
"143","Caden Prieskorn (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"144","Gavin Bartholomew (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"145","Bryson Nesbit (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"148","Jordan Murray (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Shawn Bowman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Stevo Klotz (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","DJ Thomas-Jones (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Bryce Pierre (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","John Copenhaver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Patrick Herbert (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Tyler Neville (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Oscar Cardenas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Pat Conroy (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Caleb Lohner (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"160","Jordan Petaia (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","JJ Galbreath (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Anthony Torres (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Carter Runyon (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Sam Pitz (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Luke Deal (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Drake Dabney (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Max Mang (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Nick Kallerup (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Marshall Lang (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Jermaine Terry II (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Ben Yurosek (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Tre Watson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Zach Horton (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Kole Taylor (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Jackson Hawes (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"177","Hayden Rucci (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","CJ Dippre (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Mitchell Evans (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"180","Gunnar Helm (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5%"
"181","Harold Fannin Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.2%"
