"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"DeVonta Smith","PHI","WR25","0.3","1.2","0.0","81.2","976.9","6.8","0.5","218.8"
"Omarion Hampton","LAC","RB19","225.0","977.7","8.5","35.7","276.8","1.5","2.1","216.9"
"Jerry Jeudy","CLE","WR26","0.3","4.8","0.0","81.3","1,096.8","4.1","0.6","215.2"
"Calvin Ridley","TEN","WR27","5.6","33.4","0.3","70.1","1,025.1","6.0","0.9","211.8"
"Jakobi Meyers","LV","WR28","1.2","8.9","0.0","82.3","964.4","5.3","0.5","210.5"
"George Pickens","DAL","WR29","1.0","6.2","0.0","69.2","1,012.6","6.4","0.9","207.9"
"Jameson Williams","DET","WR30","7.4","63.4","0.8","60.8","963.8","6.1","0.5","204.0"
"D'Andre Swift","CHI","RB20","237.0","961.5","6.1","36.8","284.2","1.2","1.1","203.3"
"Tetairoa McMillan","CAR","WR31","0.5","7.4","0.0","73.7","962.1","5.8","1.2","203.0"
"Aaron Jones Sr.","MIN","RB21","198.2","886.8","4.4","44.8","328.8","2.3","1.8","202.6"
"Jaylen Waddle","MIA","WR32","2.5","16.1","0.1","75.5","965.3","4.9","0.5","202.1"
"Tony Pollard","TEN","RB22","233.3","979.8","5.5","40.0","257.5","0.9","1.0","200.0"
"David Montgomery","DET","RB23","199.1","836.9","9.0","31.4","257.8","0.9","1.0","198.1"
"Deebo Samuel Sr.","WAS","WR33","29.2","124.2","1.2","65.2","831.7","5.1","1.0","196.8"
"Chris Olave","NO","WR34","0.3","2.8","0.0","76.5","944.6","4.4","1.3","194.9"
"Stefon Diggs","NE","WR35","1.3","6.9","0.2","77.5","852.1","5.2","0.5","194.6"
"TreVeyon Henderson","NE","RB24","210.6","925.2","5.9","33.7","262.9","1.5","1.7","193.8"
"Michael Pittman Jr.","IND","WR36","0.3","2.0","0.0","78.4","887.8","4.2","0.9","190.9"
"Travis Hunter","JAC","WR37","3.8","21.7","0.1","68.3","890.2","5.2","0.8","189.8"
"Matthew Golden","GB","WR38","0.5","9.4","0.0","64.1","891.5","6.0","0.8","188.5"
"Rashee Rice","KC","WR39","1.1","4.5","0.0","70.9","831.8","5.8","0.6","188.3"
"Travis Kelce","KC","TE4","0.0","0.5","0.0","81.0","773.5","5.2","0.9","188.1"
