"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Emanuel Wilson","GB","RB86","33.5","175.2","1.2","7.4","53.9","0.4","0.3","39.3"
"Elijah Moore","BUF","WR130","0.0","1.3","0.0","14.5","160.3","1.2","0.0","37.9"
"DJ Giddens","IND","RB87","23.6","163.2","1.3","7.6","56.4","0.1","0.0","37.9"
"Xavier Hutchinson","HOU","WR131","0.0","0.0","0.0","14.6","171.9","1.0","0.1","37.5"
"KhaDarel Hodge","ATL","WR132","0.0","0.0","0.0","13.5","176.6","1.0","0.1","37.1"
"A.J. Dillon","PHI","RB88","50.1","199.1","1.6","3.6","28.6","0.1","0.0","36.3"
"Jalen Royals","KC","WR133","0.0","2.5","0.0","12.9","156.2","1.2","0.0","35.7"
"Luke Schoonmaker","DAL","TE56","0.0","0.0","0.0","14.9","132.7","1.2","0.0","35.1"
"Charlie Woerner","ATL","TE57","0.0","0.0","0.0","14.6","139.0","1.1","0.0","34.9"
"Adam Trautman","DEN","TE58","0.0","0.0","0.0","12.6","136.8","1.4","0.0","34.4"
"Daniel Bellinger","NYG","TE59","0.0","0.0","0.0","14.9","139.7","0.8","0.0","33.8"
"Kyle Juszczyk","SF","RB89","5.4","22.5","0.3","13.1","125.0","0.7","0.4","33.7"
"Russell Gage Jr.","SF","WR134","0.0","0.0","0.0","13.0","145.0","1.0","0.0","33.5"
"Jalin Hyatt","NYG","WR135","0.0","0.0","0.0","12.1","160.6","0.8","0.0","33.2"
"Isaac TeSlaa","DET","WR136","0.0","0.0","0.0","10.7","155.2","1.1","0.0","33.0"
"Julian Hill","MIA","TE60","0.0","0.0","0.0","14.7","133.4","0.9","0.4","32.9"
"Grant Calcaterra","PHI","TE61","0.0","0.0","0.0","12.6","138.9","0.9","0.0","31.6"
"Josh Whyle","TEN","TE62","0.0","0.0","0.0","14.5","134.2","0.6","0.0","31.4"
"Audric Estime","DEN","RB90","45.5","149.1","0.9","5.8","40.1","0.2","0.4","30.9"
"Casey Washington","ATL","WR137","0.0","0.0","0.0","11.3","135.6","1.0","0.0","30.9"
"Malachi Corley","NYJ","WR138","2.3","13.5","0.1","11.7","125.1","0.8","0.1","30.5"
"Michael Gallup","WAS","WR139","0.0","0.0","0.0","11.4","129.1","1.0","0.0","30.4"
"Jake Briningstool","KC","TE63","0.0","0.0","0.0","12.0","121.0","1.0","0.0","30.1"
"Johnny Mundt","JAC","TE64","0.0","0.0","0.0","13.4","115.2","0.8","0.0","30.0"
"Jake Bobo","SEA","WR140","0.0","0.0","0.0","11.4","132.5","0.9","0.0","29.7"
"Isaiah Davis","NYJ","RB91","30.7","152.3","0.9","5.0","36.5","0.1","0.0","29.6"
"Jamari Thrash","CLE","WR141","0.0","0.0","0.0","12.3","144.7","0.5","0.2","29.5"
"Payne Durham","TB","TE65","0.0","0.0","0.0","11.1","109.3","1.2","0.0","29.4"
"Jaylin Lane","WAS","WR142","2.2","13.5","0.1","10.4","120.3","0.8","0.1","29.2"
"Jha'Quan Jackson","TEN","WR143","0.0","1.7","0.0","11.4","138.2","0.8","0.5","29.1"
"Arian Smith","NYJ","WR144","0.0","3.5","0.0","11.2","134.3","0.7","0.0","29.0"
"Darnell Washington","PIT","TE66","0.0","0.0","0.0","12.3","123.3","0.7","0.0","28.9"
"Elijah Higgins","ARI","TE67","0.0","0.0","0.0","11.4","110.3","1.1","0.0","28.8"
"Pierre Strong Jr.","CLE","RB92","28.3","89.6","0.4","8.9","67.8","0.2","0.1","28.4"
"Chris Brooks","GB","RB93","30.9","139.1","0.9","5.0","32.1","0.0","0.0","27.9"
"Jelani Woods","IND","TE68","0.0","0.0","0.0","8.0","137.0","1.0","0.0","27.7"
"Erik Ezukanma","MIA","WR145","0.0","0.0","0.0","10.8","120.7","0.8","0.0","27.6"
"Emari Demercado","ARI","RB94","18.7","106.3","0.4","8.1","54.1","0.1","0.0","27.2"
"Zavier Scott","MIN","WR146","32.0","153.0","1.0","3.0","29.0","0.0","0.0","27.2"
"Keleki Latu","BUF","TE69","0.0","0.0","0.0","10.0","111.0","1.0","0.0","27.1"
"Amar Johnson","GB","RB95","35.0","164.0","1.0","2.0","26.0","0.0","0.0","27.0"
"Brashard Smith","KC","RB96","9.9","78.9","0.5","7.6","56.4","0.5","0.0","26.9"
"Xavier Restrepo","TEN","WR147","0.0","2.0","0.0","10.0","105.0","1.0","0.0","26.7"
"Savion Williams","GB","WR148","4.4","16.4","0.1","9.1","104.8","0.8","0.0","26.5"
"Colby Parkinson","LAR","TE70","0.0","0.0","0.0","10.6","106.5","0.9","0.0","26.3"
"Clyde Edwards-Helaire","NO","RB97","36.6","113.0","0.6","5.7","42.7","0.3","0.1","25.9"
"Connor Heyward","PIT","TE71","0.0","0.0","0.0","10.2","87.7","1.2","0.0","25.9"
"DeAndre Carter","CLE","WR149","0.0","2.0","0.0","10.9","128.7","0.5","0.5","25.9"
"Kimani Vidal","LAC","RB98","35.4","105.5","0.6","5.4","41.2","0.3","0.0","25.5"
"Tyler Goodson","IND","RB99","30.0","109.7","0.7","4.7","31.3","0.3","0.0","24.8"
"Chris Blair","ATL","WR150","0.0","0.0","0.0","9.4","106.1","0.7","0.0","24.4"
"Olamide Zaccheaus","CHI","WR151","1.1","6.0","0.0","9.4","100.6","0.7","0.1","24.3"
"Sincere McCormick","LV","RB100","23.7","112.9","0.8","4.3","29.9","0.1","0.1","23.5"
"Mack Hollins","NE","WR152","0.0","1.7","0.0","8.2","102.1","0.8","0.0","23.3"
"Drew Sample","CIN","TE72","0.0","0.0","0.0","10.4","82.9","0.8","0.0","23.2"
"Trey Palmer","TB","WR153","0.0","0.0","0.0","8.6","94.3","0.8","0.0","22.8"
"Ty Chandler","MIN","RB101","18.9","96.3","0.7","5.0","34.7","0.1","0.0","22.7"
"Drew Ogletree","IND","TE73","0.0","0.0","0.0","7.6","97.0","0.8","0.0","22.2"
"Pharaoh Brown","MIA","TE74","0.0","0.0","0.0","10.0","93.3","0.5","0.0","22.2"
"Dameon Pierce","HOU","RB102","4.5","81.5","0.7","5.8","40.2","0.1","1.0","21.2"
"Tylan Wallace","BAL","WR154","0.0","1.7","0.0","6.7","87.8","0.9","0.0","20.9"
"Hunter Renfrow","CAR","WR155","0.0","0.0","0.0","9.3","91.4","0.4","0.0","20.8"
"Simi Fehoko","ARI","WR156","0.0","0.0","0.0","7.6","91.7","0.7","0.0","20.8"
"Jeremy McNichols","WAS","RB103","21.9","93.0","1.1","2.7","15.3","0.0","0.0","20.4"
"Michael Burton","DEN","RB104","6.7","14.6","0.6","7.1","45.6","0.6","0.0","20.2"
"Sterling Shepard","TB","WR157","0.8","7.0","0.0","7.7","80.4","0.5","0.0","19.6"
"Tim Jones","MIN","WR158","0.0","0.0","0.0","7.4","83.2","0.6","0.1","19.4"
"Craig Reynolds","DET","RB105","8.5","38.0","0.1","6.9","55.1","0.4","0.0","19.2"
"Cam Akers","NO","RB106","31.2","100.0","0.6","3.1","20.4","0.1","0.0","19.2"
"Nate Adkins","DEN","TE75","0.0","0.0","0.0","7.0","54.8","1.1","0.0","19.0"
"Kalel Mullings","TEN","RB107","10.4","96.5","0.6","3.0","21.8","0.0","0.0","18.8"
"Damien Martinez","SEA","RB108","8.8","97.5","0.6","3.0","21.9","0.0","0.0","18.7"
"Lucas Krull","DEN","TE76","0.0","0.0","0.0","8.3","79.8","0.4","0.0","18.6"
"Hunter Long","JAC","TE77","0.0","0.0","0.0","8.4","76.0","0.4","0.0","18.2"
"Quintin Morris","JAC","TE78","0.0","0.0","0.0","7.9","71.5","0.5","0.0","18.1"
"Gavin Bartholomew","MIN","TE79","0.0","0.0","0.0","7.0","75.0","0.6","0.0","18.0"
"Brevyn Spann-Ford","DAL","TE80","0.0","0.0","0.0","7.3","69.7","0.6","0.0","18.0"
"Michael Carter","ARI","RB109","9.6","41.2","0.2","6.6","45.0","0.3","0.0","17.9"
"Jamal Agnew","ATL","WR159","0.0","0.0","0.0","7.1","73.5","0.6","0.1","17.9"
"Cedrick Wilson Jr.","NO","WR160","0.0","2.0","0.0","6.9","77.2","0.5","0.0","17.8"
"Alec Ingold","MIA","RB110","8.9","21.5","0.6","6.1","44.1","0.4","0.4","17.8"
"Giovanni Ricci","MIN","TE81","0.0","0.0","0.0","8.0","95.5","0.0","0.0","17.6"
"Teagan Quitoriano","ATL","TE82","0.0","0.0","0.0","5.5","89.0","0.5","0.0","17.4"
"KeAndre Lambert-Smith","LAC","WR161","0.0","3.0","0.0","5.9","77.7","0.6","0.0","17.3"
"Lawrence Cager","WAS","WR162","0.0","0.0","0.0","5.5","57.0","1.0","0.0","17.2"
"Bo Melton","GB","WR163","0.0","0.0","0.0","6.2","73.8","0.6","0.0","16.9"
"Tanner McLachlan","CIN","TE83","0.0","0.0","0.0","7.0","68.5","0.5","0.0","16.9"
"Ben Skowronek","PIT","WR164","0.0","0.0","0.0","6.5","72.2","0.5","0.0","16.8"
"Tanner Conner","MIA","TE84","0.0","0.0","0.0","7.5","58.3","0.6","0.0","16.8"
"C.J. Ham","MIN","RB111","3.0","13.6","1.0","5.3","34.8","0.1","0.0","16.6"
"Irvin Charles","NYJ","WR165","0.0","0.0","0.0","6.5","70.0","0.5","0.0","16.3"
"Devin Culp","TB","TE85","0.0","0.0","0.0","6.1","65.7","0.6","0.0","16.1"
"Maurice Alexander","CHI","WR166","0.0","0.0","0.0","6.4","70.4","0.4","0.0","15.9"
"Brenden Bates","CLE","TE86","0.0","0.0","0.0","6.5","61.6","0.5","0.0","15.9"
"Samori Toure","CHI","WR167","0.0","0.0","0.0","6.3","69.8","0.4","0.0","15.7"
"Charlie Kolar","BAL","TE87","0.0","1.0","0.0","5.7","71.7","0.4","0.0","15.6"
"Devontez Walker","BAL","WR168","0.0","1.7","0.0","4.9","67.4","0.6","0.0","15.6"
"Taysom Hill","NO","TE88","0.0","50.0","1.0","2.3","22.3","0.0","0.0","15.6"
"Travis Homer","CHI","RB112","21.6","69.8","0.3","3.4","25.7","0.1","0.0","15.5"
"Eric Saubert","SEA","TE89","0.0","0.0","0.0","6.8","59.8","0.5","0.0","15.5"
"John Bates","WAS","TE90","0.0","0.0","0.0","5.9","55.0","0.6","0.0","15.2"
"Tip Reiman","ARI","TE91","0.0","0.0","0.0","6.6","60.3","0.4","0.0","15.1"
"Kenny Yeboah","DET","TE92","0.0","0.0","0.0","6.0","60.5","0.5","0.0","15.0"
"John Metchie III","PHI","WR169","0.0","0.0","0.0","6.3","69.0","0.3","0.0","15.0"
"David Moore","CAR","WR170","0.0","0.0","0.0","5.9","73.4","0.3","0.0","14.9"
"Ian Thomas","LV","TE93","0.0","0.0","0.0","6.6","58.6","0.4","0.0","14.9"
"Mitchell Evans","CAR","TE94","0.0","0.0","0.0","6.3","59.4","0.4","0.0","14.5"
"Malik Heath","GB","WR171","0.0","0.0","0.0","5.5","62.2","0.5","0.0","14.4"
"Cam Grandy","CIN","TE95","0.0","0.0","0.0","6.2","54.3","0.4","0.0","14.3"
"Carson Steele","KC","RB113","26.9","69.9","0.3","4.1","22.0","0.1","0.7","14.3"
"Luke Farrell","SF","TE96","0.0","0.0","0.0","6.1","58.9","0.4","0.0","14.3"
"Xavier Weaver","ARI","WR172","0.0","0.0","0.0","5.2","61.4","0.5","0.0","14.2"
"Travis Vokolek","ARI","TE97","0.0","0.0","0.0","5.5","55.5","0.5","0.0","14.1"
"Stone Smartt","NYJ","TE98","0.0","0.0","0.0","5.5","66.7","0.4","0.3","13.7"
"Thomas Fidone II","NYG","TE99","0.0","0.0","0.0","5.5","51.5","0.5","0.0","13.7"
"Caleb Lohner","DEN","TE100","0.0","0.0","0.0","5.5","51.0","0.5","0.0","13.6"
"Raheem Blackshear","CAR","RB114","23.0","66.0","0.4","2.9","21.0","0.1","0.5","13.3"
"Jackson Hawes","BUF","TE101","0.0","0.0","0.0","5.3","56.8","0.4","0.0","13.2"
"Dare Ogunbowale","HOU","RB115","6.5","28.7","0.1","4.9","37.7","0.2","0.0","13.2"
"Ben Sims","GB","TE102","0.0","0.0","0.0","5.0","50.5","0.5","0.0","13.1"
"Jared Wiley","KC","TE103","0.0","0.0","0.0","5.4","53.1","0.4","0.0","13.0"
"Brayden Willis","SF","TE104","0.0","0.0","0.0","4.5","54.5","0.5","0.0","13.0"
"Jordan Mims","TEN","RB116","15.8","66.5","0.3","2.2","15.4","0.1","0.0","12.7"
"Julius Chestnut","TEN","RB117","10.4","31.9","0.1","4.5","32.5","0.2","0.0","12.7"
"Tommy Mellott","LV","QB1","4.0","24.1","0.2","3.7","43.6","0.2","0.0","12.6"
"Ronnie Rivers","LAR","RB118","31.7","90.3","0.5","0.3","2.3","0.0","0.0","12.5"
"Greg Dulcich","NYG","TE105","0.0","0.0","0.0","5.0","52.9","0.3","0.0","12.3"
"David Bell","CLE","WR173","0.0","0.0","0.0","6.0","60.0","0.0","0.0","12.0"
"Chris Manhertz","NYG","TE106","0.0","0.0","0.0","4.9","44.0","0.4","0.0","11.6"
"Robert Tonyan","KC","TE107","0.0","0.0","0.0","4.7","43.0","0.3","0.0","11.0"
"Patrick Ricard","BAL","RB119","4.1","11.5","0.1","3.4","27.6","0.5","0.0","10.8"
"Jordan James","SF","RB120","18.2","63.0","0.4","1.0","12.0","0.0","0.0","10.8"
"Dante Pettis","NO","WR174","2.1","9.7","0.0","4.0","46.4","0.2","0.0","10.8"
"Jeff Wilson Jr.","SF","RB121","13.0","42.1","0.2","2.4","18.6","0.1","0.0","10.6"
"Israel Abanikanda","GB","RB122","13.3","54.8","0.4","1.3","10.5","0.1","0.0","10.5"
"Derius Davis","LAC","WR175","10.5","35.4","0.2","2.8","31.2","0.1","0.6","10.4"
"Tez Johnson","TB","WR176","0.0","0.0","0.0","4.0","49.3","0.2","0.0","10.3"
"Hassan Haskins","LAC","RB123","16.5","37.3","0.3","1.7","15.3","0.3","0.3","10.3"
"Kendric Pryor","CIN","WR177","0.0","0.0","0.0","3.9","42.8","0.3","0.0","10.2"
"Deuce Vaughn","DAL","RB124","8.9","35.0","0.1","3.2","21.5","0.1","0.0","10.1"
"Jonathan Mingo","DAL","WR178","0.0","0.0","0.0","3.9","48.6","0.2","0.0","9.8"
"Tyquan Thornton","KC","WR179","0.0","0.0","0.0","3.4","45.9","0.3","0.0","9.8"
"Frank Gore Jr.","BUF","RB125","10.2","42.8","0.2","2.0","15.0","0.1","0.0","9.7"
"Mecole Hardman Jr.","GB","WR180","0.0","3.0","0.0","4.5","50.3","0.3","1.0","9.7"
"Trishton Jackson","ARI","WR181","0.0","0.0","0.0","3.4","40.7","0.3","0.0","9.5"
"Gary Brightwell","CIN","RB126","8.0","33.7","0.2","2.4","17.1","0.1","0.0","9.3"
"Davis Allen","LAR","TE108","0.0","0.0","0.0","4.1","38.4","0.2","0.0","9.1"
"Xavier Gipson","NYJ","WR182","0.0","2.5","0.0","4.2","54.3","0.0","0.5","9.1"
"Justin Watson","HOU","WR183","0.0","0.0","0.0","3.4","45.1","0.2","0.0","9.1"
"Irv Smith Jr.","HOU","TE109","0.0","0.0","0.0","4.0","33.8","0.3","0.0","9.0"
"LeQuint Allen Jr.","JAC","RB127","4.0","29.4","0.6","1.5","11.0","0.0","0.0","8.8"
"Jalen Brooks","DAL","WR184","0.0","0.0","0.0","3.4","39.4","0.2","0.0","8.8"
"Charlie Jones","CIN","WR185","0.0","1.7","0.0","3.4","39.6","0.2","0.0","8.8"
"Hunter Luepke","DAL","RB128","4.2","14.5","0.1","3.9","26.7","0.1","0.0","8.7"
"Jordan Watkins","SF","WR186","4.4","15.8","0.1","2.6","32.7","0.1","0.0","8.6"
"Bryce Oliver","TEN","WR187","0.0","0.0","0.0","3.4","38.2","0.2","0.0","8.5"
"Mo Alie-Cox","IND","TE110","0.0","0.0","0.0","3.4","37.2","0.2","0.0","8.5"
"Isaiah Bond","CLE","WR188","0.0","0.0","0.0","3.6","39.8","0.2","0.0","8.5"
"Lil'Jordan Humphrey","NYG","WR189","0.0","0.0","0.0","4.0","44.0","0.0","0.0","8.4"
"Austin Trammell","JAC","WR190","0.0","0.0","0.0","3.4","40.1","0.2","0.0","8.3"
"Cody White","SEA","WR191","0.0","0.0","0.0","3.3","37.6","0.2","0.0","8.3"
"Dareke Young","SEA","WR192","0.0","0.0","0.0","3.3","37.7","0.2","0.0","8.3"
"Dominique Dafney","CAR","TE111","0.0","0.0","0.0","3.6","35.4","0.2","0.0","8.2"
"Miles Boykin","CHI","WR193","0.0","0.0","0.0","3.2","37.0","0.2","0.0","7.9"
"Eric Gray","NYG","RB129","11.9","42.7","0.2","1.9","14.4","0.1","0.5","7.9"
"Dee Eskridge","MIA","WR194","0.0","1.7","0.0","3.0","32.8","0.2","0.0","7.7"
"Durham Smythe","CHI","TE112","0.0","0.0","0.0","3.6","32.6","0.1","0.0","7.6"
"DeeJay Dallas","ARI","RB130","5.8","22.2","0.1","3.2","21.4","0.1","0.5","7.6"
"Devin Duvernay","CHI","WR195","0.0","2.0","0.0","3.6","35.2","0.2","0.5","7.5"
"Brycen Tremayne","CAR","WR196","0.0","0.0","0.0","3.0","33.8","0.2","0.0","7.4"
"Tucker Fisk","LAC","TE113","0.0","0.0","0.0","3.3","31.8","0.2","0.0","7.4"
"Kylen Granson","PHI","TE114","0.0","0.0","0.0","3.0","33.3","0.2","0.0","7.4"
"Scotty Miller","PIT","WR197","0.0","0.0","0.0","3.1","37.4","0.1","0.0","7.3"
"Ainias Smith","PHI","WR198","0.0","0.0","0.0","3.0","32.4","0.2","0.0","7.2"
"Jashaun Corbin","ATL","RB131","9.3","35.1","0.2","1.5","10.6","0.0","0.0","7.2"
"Tyler Scott","CHI","WR199","0.0","1.7","0.0","2.8","30.1","0.1","0.0","6.8"
"Britain Covey","LAR","WR200","2.2","13.7","0.1","1.8","21.0","0.1","0.0","6.6"
"Tanner Hudson","CIN","TE115","0.0","0.0","0.0","3.0","26.7","0.2","0.0","6.6"
"Nick Nash","ATL","WR201","0.0","0.0","0.0","3.0","35.0","0.0","0.0","6.5"
"Rasheen Ali","BAL","RB132","5.2","33.3","0.1","1.4","10.2","0.1","0.0","6.5"
"Ryan Flournoy","DAL","WR202","0.0","0.0","0.0","2.4","25.6","0.2","0.0","5.9"
"Mitchell Tinsley","CIN","WR203","0.0","0.0","0.0","2.5","28.8","0.1","0.0","5.9"
"Zonovan Knight","ARI","RB133","2.4","10.1","0.1","2.1","15.3","0.1","0.0","5.7"
"Trey Sermon","PIT","RB134","5.0","20.8","0.1","1.6","11.5","0.1","0.0","5.6"
"Erick All Jr.","CIN","TE116","0.0","0.0","0.0","2.4","20.8","0.2","0.0","5.5"
"Velus Jones Jr.","NO","WR204","2.4","10.4","0.1","1.9","13.5","0.1","0.0","5.4"
"Terrell Jennings","NE","RB135","2.4","10.1","0.1","1.9","14.5","0.1","0.0","5.2"
"Jack Stoll","NO","TE117","0.0","0.0","0.0","2.5","23.7","0.0","0.0","5.1"
"Zach Davidson","BUF","TE118","0.0","0.0","0.0","1.9","19.1","0.2","0.0","4.8"
"Anthony Gould","IND","WR205","0.0","2.5","0.0","1.8","22.8","0.1","0.0","4.6"
"Laviska Shenault Jr.","BUF","WR206","0.0","0.0","0.0","1.8","19.5","0.1","0.0","4.5"
"David Martin-Robinson","TEN","TE119","0.0","0.0","0.0","1.9","18.6","0.1","0.0","4.5"
"Blake Whiteheart","CLE","TE120","0.0","0.0","0.0","2.0","18.5","0.1","0.0","4.5"
"Tank Dell","HOU","WR207","0.0","0.0","0.0","2.0","24.0","0.0","0.0","4.4"
"Isaiah Neyor","GB","WR208","0.0","0.0","0.0","2.0","24.0","0.0","0.0","4.4"
"Feleipe Franks","ATL","QB2","0.0","0.0","0.0","1.8","17.7","0.1","0.0","4.3"
"Trent Sherfield Sr.","DEN","WR209","0.0","0.0","0.0","1.8","20.9","0.1","0.0","4.3"
"Ashton Dulin","IND","WR210","0.0","1.7","0.0","1.7","19.5","0.1","0.0","4.3"
"Isaiah Williams","CIN","WR211","0.0","0.0","0.0","1.6","18.8","0.1","0.0","4.2"
"James Mitchell","CAR","TE121","0.0","0.0","0.0","1.8","17.8","0.1","0.0","4.1"
"Steven Sims Jr.","SEA","WR212","0.0","0.0","0.0","1.7","17.0","0.1","0.0","4.0"
"Scott Matlock","LAC","DT1","0.0","0.0","0.0","2.2","14.7","0.1","0.0","4.0"
"Jacob Cowing","SF","WR213","0.0","8.5","0.0","1.1","14.9","0.1","0.0","3.9"
"Kevin Austin Jr.","NO","WR214","0.0","0.0","0.0","1.6","18.9","0.1","0.0","3.7"
"Dylan Laube","LV","RB136","0.0","10.0","0.0","1.5","11.0","0.0","0.0","3.6"
"Jase McClellan","TB","RB137","0.0","17.0","0.0","1.0","7.0","0.0","0.0","3.4"
"Jimmy Horn Jr.","CAR","WR215","0.0","0.0","0.0","1.5","18.0","0.0","0.0","3.3"
"Raheim Sanders","LAC","RB138","0.0","10.5","0.0","1.0","7.5","0.0","0.0","2.8"
"Will Mallory","IND","TE122","0.0","0.0","0.0","1.3","11.7","0.1","0.0","2.8"
"Avery Williams","PHI","RB139","1.4","5.7","0.0","1.6","10.9","0.1","0.5","2.6"
"Jason Brownlee","KC","WR216","0.0","0.0","0.0","1.0","14.0","0.0","0.0","2.4"
"Carlos Washington Jr.","ATL","RB140","0.0","15.0","0.0","0.5","3.5","0.0","0.0","2.4"
"Trayveon Williams","CLE","RB141","1.2","5.1","0.0","1.0","7.0","0.0","0.0","2.3"
"Braxton Berrios","HOU","WR217","0.0","2.5","0.0","1.0","10.5","0.0","0.0","2.3"
"Chris Moore","WAS","WR218","0.0","0.0","0.0","1.0","13.0","0.0","0.0","2.3"
"LaJohntay Wester","BAL","WR219","0.0","0.0","0.0","1.0","12.0","0.0","0.0","2.2"
"Nick Vannett","MIN","TE123","0.0","0.0","0.0","1.0","10.0","0.0","0.0","2.0"
"Tyler Badie","DEN","RB142","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.9"
"Phil Mafah","DAL","RB143","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.9"
"Keilan Robinson","PHI","RB144","0.0","2.0","0.0","1.0","7.0","0.0","0.0","1.9"
"George Holani","SEA","RB145","0.0","8.5","0.0","0.5","3.5","0.0","0.0","1.7"
"Ihmir Smith-Marsette","NYG","WR220","0.0","2.5","0.0","0.8","9.5","0.1","0.5","1.4"
"Xavier Smith","LAR","WR221","0.0","2.5","0.0","1.0","11.0","0.0","0.5","1.4"
"Sione Vaki","DET","RB146","0.0","4.5","0.0","0.5","3.5","0.0","0.0","1.3"
"JaMycal Hasty","NE","RB147","0.0","4.0","0.0","0.5","3.5","0.0","0.0","1.3"
"Nikko Remigio","KC","WR222","0.0","0.0","0.0","0.5","6.5","0.0","0.0","1.2"
"Harrison Bryant","HOU","TE124","0.0","0.0","0.0","0.5","5.5","0.0","0.0","1.1"
"D'Ernest Johnson","BAL","RB148","0.0","2.0","0.0","0.5","3.0","0.0","0.0","1.0"
"Trenton Irwin","JAC","WR223","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Tom Kennedy","DET","WR224","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR225","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Laquon Treadwell","IND","WR226","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"River Cracraft","WAS","WR227","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Taylor","SF","WR228","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keith Kirkwood","BAL","WR229","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Phillip Dorsett II","LV","WR230","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","WAS","TE125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","TE126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","ARI","TE127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","TE128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","TE129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt Sokol","BUF","TE130","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","TE131","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Mabry","CAR","TE132","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ko Kieft","TB","TE133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","WAS","TE134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John FitzPatrick","GB","TE135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Muse","PHI","TE136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Tonges","SF","TE137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","PHI","TE138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Justin Shorter","LV","WR231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zack Kuntz","NYJ","TE139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Princeton Fant","DAL","TE140","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Stephens Jr.","DAL","WR232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colson Yankoff","WAS","TE141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Thomas Odukoya","TEN","TE142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"E.J. Jenkins","PHI","TE143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Baylor Cupp","BAL","TE144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jack Westover","NE","TE145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Luke Lachey","HOU","TE146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Moliki Matavao","NO","TE147","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mitchell Wilcox","MIA","TE148","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Gaskin","BAL","RB149","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nyheim Miller-Hines","LAC","RB150","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike Boone","MIA","RB151","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","TE149","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","RB152","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Vaughn","SF","RB153","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","RB154","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","RB155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Ward","NYG","RB156","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jermar Jefferson","TEN","RB157","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","RB158","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","RB160","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
